restaurant_url,restaurant_name,number_of_reviews
https://www.tripadvisor.com/Restaurant_Review-g293926-d8571633-Reviews-Madam_Thu_Restaurant-Hue_Thua_Thien_Hue_Province.html,Madam Thu Restaurant,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d18854311-Reviews-Chan-Hue_Thua_Thien_Hue_Province.html,Chan,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d26864305-Reviews-Chan_19_Nguyen_Thai_Hoc-Hue_Thua_Thien_Hue_Province.html,Chan - 19 Nguyen Thai Hoc,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d26528139-Reviews-Le_Cercle_Hue-Hue_Thua_Thien_Hue_Province.html,Le Cercle Hue,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d28558483-Reviews-V_Hu_Restaurant_Cafe-Hue_Thua_Thien_Hue_Province.html,Vị Huế Restaurant & Café,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d26652254-Reviews-Madam_Thu_2-Hue_Thua_Thien_Hue_Province.html,Madam Thu 2,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d12512176-Reviews-Spice_Viet_Restaurant-Hue_Thua_Thien_Hue_Province.html,Spice Viet Restaurant,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d25547301-Reviews-Alma_Restaurant-Hue_Thua_Thien_Hue_Province.html,Alma Restaurant,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d27491087-Reviews-Ngu_Yen_Royal_Restaurant_In_Hue-Hue_Thua_Thien_Hue_Province.html,Ngu Yen - Royal Restaurant In Hue,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d1632193-Reviews-Ancient_Hu_Gallery_Cuisine-Hue_Thua_Thien_Hue_Province.html,Ancient Huế Gallery Cuisine,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d1600092-Reviews-Le_Parfum-Hue_Thua_Thien_Hue_Province.html,Le Parfum,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g11923533-d4041575-Reviews-Saffron-Lang_Co_Phu_Loc_District_Thua_Thien_Hue_Province.html,Saffron,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d1121818-Reviews-Y_Thao_Garden-Hue_Thua_Thien_Hue_Province.html,Y Thao Garden,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d11962508-Reviews-Ben_Xuan_Garden_House_Theatre-Hue_Thua_Thien_Hue_Province.html,Ben Xuan Garden House Theatre,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d23010922-Reviews-Ama_Restaurant-Hue_Thua_Thien_Hue_Province.html,Ama Restaurant,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d25152078-Reviews-Dai_Nam_Authentique_Cuisine_de_Hue-Hue_Thua_Thien_Hue_Province.html,Đai Nam – Authentique Cuisine de Hue,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d25031846-Reviews-Vu_Cuisine-Hue_Thua_Thien_Hue_Province.html,Vu Cuisine,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d25165033-Reviews-Banh_Ganh_Restaurant-Hue_Thua_Thien_Hue_Province.html,Bánh Gánh Restaurant,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d17562943-Reviews-Quan_H_nh-Hue_Thua_Thien_Hue_Province.html,Quán Hạnh,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d11886600-Reviews-Nook_Eatery-Hue_Thua_Thien_Hue_Province.html,Nook Eatery,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d28118958-Reviews-Pizz_a_Restaurant_Italian_Cuisine-Hue_Thua_Thien_Hue_Province.html,Pizz.á Restaurant - Italian Cuisine,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d13084307-Reviews-COZY_Restaurant-Hue_Thua_Thien_Hue_Province.html,COZY Restaurant,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d10606650-Reviews-Eco_Restaurant-Hue_Thua_Thien_Hue_Province.html,Eco Restaurant,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d1724500-Reviews-Nina_s_Cafe_Eatery-Hue_Thua_Thien_Hue_Province.html,Nina's Cafe - Eatery,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d33411708-Reviews-1984_Coffee_Pub_Restaurant-Hue_Thua_Thien_Hue_Province.html,1984 Coffee • Pub • Restaurant,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d27488427-Reviews-Huong_Ng_Restaurant-Hue_Thua_Thien_Hue_Province.html,Hương Ngự Restaurant,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d2668637-Reviews-Les_Jardins_de_La_Carambole-Hue_Thua_Thien_Hue_Province.html,Les Jardins de La Carambole,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d19121650-Reviews-La_Paix_Bistro-Hue_Thua_Thien_Hue_Province.html,La Paix Bistro,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d17596312-Reviews-Maison_Trang_Restaurant-Hue_Thua_Thien_Hue_Province.html,Maison Trang Restaurant,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d32855471-Reviews-C_i_Coffee-Hue_Thua_Thien_Hue_Province.html,Củi Coffee,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d14062058-Reviews-Bistro_La_Carambole-Hue_Thua_Thien_Hue_Province.html,Bistro La Carambole,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d19102669-Reviews-Shino_Sushi_2_Japanese_Restaurant_Hue-Hue_Thua_Thien_Hue_Province.html,Shino Sushi 2 - Japanese Restaurant - Hue,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d25553950-Reviews-N_Cafe_And_Restaurant-Hue_Thua_Thien_Hue_Province.html,N. Cafe And Restaurant,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d3295650-Reviews-Zucca_Restaurant-Hue_Thua_Thien_Hue_Province.html,Zucca Restaurant,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d27929484-Reviews-Nha_Hang_Kh_i_Hoan-Hue_Thua_Thien_Hue_Province.html,Nhà Hàng Khải Hoàn,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d2012139-Reviews-Family_Home_Cafe_Restaurant-Hue_Thua_Thien_Hue_Province.html,Family Home Cafe & Restaurant,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d4209841-Reviews-Nha_Hang_Cafe_Vy_Da_Xua-Hue_Thua_Thien_Hue_Province.html,Nha Hang Cafe Vy Da Xua,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d1122506-Reviews-HotTuna_Restaurant-Hue_Thua_Thien_Hue_Province.html,HotTuna Restaurant,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d8824452-Reviews-Junrei_Restaurant-Hue_Thua_Thien_Hue_Province.html,Junrei Restaurant,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d34062455-Reviews-Thong_Dong_Vegetarian_Restaurant-Hue_Thua_Thien_Hue_Province.html,Thong Dong Vegetarian Restaurant,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d1738361-Reviews-Dmz_Bar_Restaurant-Hue_Thua_Thien_Hue_Province.html,Dmz Bar & Restaurant,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d1909247-Reviews-Little_Italy_Restaurant-Hue_Thua_Thien_Hue_Province.html,Little Italy Restaurant,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d2398631-Reviews-Golden_Rice-Hue_Thua_Thien_Hue_Province.html,Golden Rice,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d8285487-Reviews-Ganesh_Indian_Restaurant-Hue_Thua_Thien_Hue_Province.html,Ganesh Indian Restaurant,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d28669656-Reviews-Maison_Trang_2_Restaurant-Hue_Thua_Thien_Hue_Province.html,Maison Trang 2 Restaurant,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d25392101-Reviews-Vietnammese_Restaurant_Fastfood22-Hue_Thua_Thien_Hue_Province.html,Vietnammese Restaurant & Fastfood22,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d1371993-Reviews-La_Boulangerie_Francaise-Hue_Thua_Thien_Hue_Province.html,La Boulangerie Francaise,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d27121390-Reviews-Risotto_Restaurant-Hue_Thua_Thien_Hue_Province.html,Risotto Restaurant,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d23411630-Reviews-An_Nhien_Garden_Restaurant-Hue_Thua_Thien_Hue_Province.html,An Nhiên Garden Restaurant,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g11923533-d25001016-Reviews-An_Lagoon_Seafood_Master-Lang_Co_Phu_Loc_District_Thua_Thien_Hue_Province.html,An Lagoon Seafood Master,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d14098632-Reviews-Shino_Sushi_BBQ-Hue_Thua_Thien_Hue_Province.html,Shino Sushi & BBQ,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d25415657-Reviews-Ngo_Nho_Restaurant_Cafe-Hue_Thua_Thien_Hue_Province.html,Ngo Nho Restaurant & Cafe,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d21080437-Reviews-Non_Hu_Authentic_Hue_Food-Hue_Thua_Thien_Hue_Province.html,Nón Huế- Authentic Hue Food,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d1604153-Reviews-L_c_Thi_n_Restaurant-Hue_Thua_Thien_Hue_Province.html,Lạc Thiện Restaurant,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d8327395-Reviews-Shiva_Shakti_Indian_Restaurant-Hue_Thua_Thien_Hue_Province.html,Shiva Shakti Indian Restaurant,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d25547286-Reviews-Zenith_SkyBar-Hue_Thua_Thien_Hue_Province.html,Zenith SkyBar,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d26768478-Reviews-Chez_Mais-Hue_Thua_Thien_Hue_Province.html,Chez Maïs,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d7192741-Reviews-Elegant_Restaurant-Hue_Thua_Thien_Hue_Province.html,Elegant Restaurant,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d12832825-Reviews-Ta_Vet-Hue_Thua_Thien_Hue_Province.html,Ta Vet,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d25259128-Reviews-Quan_nh_u_36-Hue_Thua_Thien_Hue_Province.html,Quán nhạu 36,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d27539193-Reviews-Le_Soleil_De_Hu-Hue_Thua_Thien_Hue_Province.html,Le Soleil De Huế,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d8678483-Reviews-Secret_Lounge_Hue-Hue_Thua_Thien_Hue_Province.html,Secret Lounge Hue,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d6897910-Reviews-Bun_Bo_Hu_Sen-Hue_Thua_Thien_Hue_Province.html,Bún Bò Huế Sen,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d28098633-Reviews-Com_Nieu_Banh_Ganh_2-Hue_Thua_Thien_Hue_Province.html,Cơm Niêu Bánh Gánh 2,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d7126151-Reviews-Gecko_Pub_Restaurant-Hue_Thua_Thien_Hue_Province.html,Gecko Pub - Restaurant,Xem khi lặp Review
https://www.tripadvisor.com/Restaurant_Review-g293926-d27491083-Reviews-Sunrise_Lounge_Rooftop_Sky_Bar-Hue_Thua_Thien_Hue_Province.html,Sunrise Lounge - Rooftop Sky Bar,Xem khi lặp Review
